时间,站名,具体时间,水位,流量,涨落
2023-01-30,寸滩,30日22时,160.96,6550,涨
2023-01-30,万县,30日22时,155.42,-,落
2023-01-30,宜昌,30日22时,39.80,6920,平
2023-01-30,沙市,30日22时,29.42,6800,平
2023-01-30,螺山,30日22时,17.94,8080,平
2023-01-30,汉口,30日22时,12.62,8570,平
2023-01-30,九江,30日22时,7.70,8690,落
2023-01-30,大通,30日22时,4.27,9460,涨
2023-01-30,城陵矶㈦,30日22时,19.19,1360,平
2023-01-30,皇庄,30日22时,39.12,640,平
2023-01-30,湖口,30日22时,6.74,1280,落
2023-01-31,向家坝,31日22时,269.24,4910,落
2023-01-31,寸滩,31日22时,161.16,6820,落
2023-01-31,万县,31日22时,155.43,-,落
2023-01-31,宜昌,31日22时,39.90,7160,涨
2023-01-31,沙市,31日22时,29.35,6690,平
2023-01-31,螺山,31日22时,17.89,8040,平
2023-01-31,汉口,31日22时,12.60,8550,落
2023-01-31,九江,31日22时,7.67,8670,涨
2023-01-31,大通,31日22时,4.12,9410,涨
2023-01-31,城陵矶㈦,31日22时,19.15,1340,平
2023-01-31,皇庄,31日22时,39.10,632,涨
2023-01-31,湖口,31日22时,6.69,1240,涨
2023-02-01,向家坝,01日22时,269.03,4670,落
2023-02-01,寸滩,01日22时,161.27,6980,平
2023-02-01,万县,01日22时,155.47,-,平
2023-02-01,宜昌,01日22时,39.72,6730,涨
2023-02-01,沙市,01日22时,29.36,6750,落
2023-02-01,螺山,01日22时,17.82,8000,平
2023-02-01,汉口,01日19时,12.54,8460,落
2023-02-01,九江,01日22时,7.65,8970,落
2023-02-01,大通,01日22时,4.17,8400,涨
2023-02-01,城陵矶㈦,01日22时,19.11,1170,落
2023-02-01,皇庄,01日19时,39.09,628,涨
2023-02-01,湖口,01日22时,6.68,936,涨
2023-02-02,向家坝,02日22时,269.13,4790,落
2023-02-02,寸滩,02日22时,160.99,6290,落
2023-02-02,万县,02日22时,155.48,-,落
2023-02-02,宜昌,02日22时,39.85,7040,平
2023-02-02,沙市,02日22时,29.31,6690,平
2023-02-02,螺山,02日22时,17.82,8030,涨
2023-02-02,汉口,02日22时,12.50,8410,平
2023-02-02,九江,02日22时,7.68,8840,平
2023-02-02,大通,02日22时,4.13,9690,涨
2023-02-02,城陵矶㈦,02日22时,19.11,1170,平
2023-02-02,皇庄,02日22时,39.27,700,落
2023-02-02,湖口,02日22时,6.77,1200,落
2023-02-03,向家坝,03日22时,269.05,4700,落
2023-02-03,寸滩,03日22时,160.80,6040,落
2023-02-03,万县,03日22时,155.45,-,落
2023-02-03,宜昌,03日22时,39.76,6820,涨
2023-02-03,沙市,03日22时,29.41,6830,平
2023-02-03,螺山,03日22时,17.81,8000,平
2023-02-03,汉口,03日22时,12.47,8370,平
2023-02-03,九江,03日22时,7.65,8840,落
2023-02-03,大通,03日22时,4.00,9600,落
2023-02-03,城陵矶㈦,03日22时,19.09,1170,平
2023-02-03,皇庄,03日22时,39.29,708,平
2023-02-03,湖口,03日22时,6.74,1320,落
2023-02-04,向家坝,04日22时,269.10,4750,平
2023-02-04,寸滩,04日22时,160.98,6270,涨
2023-02-04,万县,04日22时,155.38,-,落
2023-02-04,宜昌,04日22时,39.75,6800,平
2023-02-04,沙市,04日22时,29.42,6800,落
2023-02-04,螺山,04日22时,17.79,8030,平
2023-02-04,汉口,04日22时,12.44,8330,平
2023-02-04,九江,04日22时,7.63,8720,落
2023-02-04,大通,04日22时,4.07,9780,落
2023-02-04,城陵矶㈦,04日22时,19.09,1170,平
2023-02-04,皇庄,04日22时,39.30,712,落
2023-02-04,湖口,04日22时,6.73,1100,落
2023-02-05,向家坝,05日22时,269.10,4750,落
2023-02-05,寸滩,05日22时,161.10,6440,落
2023-02-05,万县,05日22时,155.35,-,落
2023-02-05,宜昌,05日22时,39.96,7300,涨
2023-02-05,沙市,05日22时,29.35,6650,落
2023-02-05,螺山,05日22时,17.82,8060,平
2023-02-05,汉口,05日21时,12.41,8280,平
2023-02-05,九江,05日22时,7.63,8610,落
2023-02-05,大通,05日22时,4.16,9950,落
2023-02-05,城陵矶㈦,05日22时,19.11,1170,平
2023-02-05,皇庄,05日22时,39.23,684,涨
2023-02-05,湖口,05日22时,6.74,1060,涨
2023-02-06,向家坝,06日22时,269.13,4790,落
2023-02-06,寸滩,06日22时,161.10,6440,平
2023-02-06,万县,06日22时,155.34,-,落
2023-02-06,宜昌,06日22时,39.98,7350,平
2023-02-06,沙市,06日22时,29.42,6840,平
2023-02-06,螺山,06日22时,17.84,8100,平
2023-02-06,汉口,06日22时,12.41,8280,平
2023-02-06,九江,06日22时,7.64,8530,涨
2023-02-06,大通,06日22时,4.24,10000,落
2023-02-06,城陵矶㈦,06日22时,19.14,1330,平
2023-02-06,皇庄,06日22时,39.17,660,落
2023-02-06,湖口,06日22时,6.79,1280,涨
2023-02-07,向家坝,07日22时,269.13,4790,涨
2023-02-07,寸滩,07日22时,161.35,6790,平
2023-02-07,万县,07日22时,155.34,-,落
2023-02-07,宜昌,07日22时,39.88,7110,涨
2023-02-07,沙市,07日22时,29.48,6930,平
2023-02-07,螺山,07日22时,17.90,8210,平
2023-02-07,汉口,07日22时,12.42,8300,平
2023-02-07,九江,07日22时,7.68,8550,涨
2023-02-07,大通,07日22时,4.34,10100,落
2023-02-07,城陵矶㈦,07日22时,19.23,1350,涨
2023-02-07,皇庄,07日22时,39.14,648,涨
2023-02-07,湖口,07日22时,6.88,1370,涨
2023-02-14,向家坝,14日22时,269.00,4640,落
2023-02-14,寸滩,14日22时,161.07,6400,涨
2023-02-14,万县,14日22时,155.80,-,平
2023-02-14,宜昌,14日22时,39.61,6460,落
2023-02-14,沙市,14日22时,29.51,6850,平
2023-02-14,螺山,14日22时,19.14,9760,平
2023-02-14,汉口,14日22时,13.81,10800,平
2023-02-14,九江,14日22时,9.21,10100,涨
2023-02-14,大通,14日22时,5.44,14600,涨
2023-02-14,城陵矶㈦,14日22时,20.38,3320,平
2023-02-14,皇庄,14日22时,39.23,659,落
2023-02-14,湖口,14日22时,8.68,5110,涨
2023-02-15,向家坝,15日22时,269.06,4710,落
2023-02-15,寸滩,15日22时,161.47,6330,落
2023-02-15,万县,15日22时,155.80,-,平
2023-02-15,宜昌,15日22时,39.74,6780,平
2023-02-15,沙市,15日22时,29.45,6740,落
2023-02-15,螺山,15日22时,18.92,9240,落
2023-02-15,汉口,15日22时,13.85,10900,平
2023-02-15,九江,15日22时,9.34,11800,落
2023-02-15,大通,15日22时,5.44,15000,涨
2023-02-15,城陵矶㈦,15日22时,20.13,3080,落
2023-02-15,皇庄,15日22时,39.11,616,涨
2023-02-15,湖口,15日22时,8.81,5430,涨
2023-02-16,向家坝,16日22时,268.97,4600,落
2023-02-16,寸滩,16日22时,161.60,7140,落
2023-02-16,万县,16日22时,155.86,-,平
2023-02-16,宜昌,16日22时,39.86,7060,涨
2023-02-16,沙市,16日22时,29.42,6710,涨
2023-02-16,螺山,16日22时,18.77,9030,平
2023-02-16,汉口,16日22时,13.78,10800,落
2023-02-16,九江,16日22时,9.36,10600,落
2023-02-16,大通,16日22时,5.44,14900,涨
2023-02-16,城陵矶㈦,16日22时,19.99,2950,落
2023-02-16,皇庄,16日22时,39.16,634,涨
2023-02-16,湖口,16日22时,8.81,5170,涨
2023-02-17,向家坝,17日22时,268.96,4590,落
2023-02-17,寸滩,17日22时,161.66,7220,涨
2023-02-17,万县,17日22时,155.95,-,涨
2023-02-17,宜昌,17日22时,39.74,6780,涨
2023-02-17,沙市,17日22时,29.51,6870,涨
2023-02-17,螺山,17日22时,18.67,8890,平
2023-02-17,汉口,17日22时,13.67,10600,落
2023-02-17,九江,17日22时,9.31,10300,落
2023-02-17,大通,17日22时,5.40,15100,涨
2023-02-17,城陵矶㈦,17日22时,19.89,2430,落
2023-02-17,皇庄,17日22时,39.17,638,涨
2023-02-17,湖口,17日22时,8.75,4770,落
2023-02-18,向家坝,18日22时,268.89,4510,落
2023-02-18,寸滩,18日22时,161.75,7350,涨
2023-02-18,万县,18日22时,156.01,-,落
2023-02-18,宜昌,18日22时,39.72,6730,涨
2023-02-18,沙市,18日22时,29.42,6710,平
2023-02-18,螺山,18日22时,18.59,8810,平
2023-02-18,汉口,18日22时,13.56,10400,落
2023-02-18,九江,18日22时,9.23,10200,涨
2023-02-18,大通,18日22时,5.32,15100,落
2023-02-18,城陵矶㈦,18日22时,19.84,2380,平
2023-02-18,皇庄,18日22时,39.16,634,平
2023-02-18,湖口,18日22时,8.67,4650,落
2023-02-19,向家坝,19日22时,268.96,4590,落
2023-02-19,寸滩,19日22时,161.53,7040,落
2023-02-19,万县,19日22时,156.12,-,平
2023-02-19,宜昌,19日22时,39.77,6850,涨
2023-02-19,沙市,19日22时,29.35,6640,落
2023-02-19,螺山,19日22时,18.52,8710,涨
2023-02-19,汉口,19日22时,13.47,10200,平
2023-02-19,九江,19日22时,9.12,9970,落
2023-02-19,大通,19日22时,5.29,14700,落
2023-02-19,城陵矶㈦,19日22时,19.77,2320,平
2023-02-19,皇庄,19日22时,39.19,645,平
2023-02-19,湖口,19日22时,8.54,4130,平
2023-02-20,向家坝,20日22时,268.93,4560,涨
2023-02-20,寸滩,20日22时,161.57,7100,涨
2023-02-20,万县,20日20时,156.19,-,落
2023-02-20,宜昌,20日22时,39.79,6900,涨
2023-02-20,沙市,20日22时,29.33,6640,平
2023-02-20,螺山,20日22时,18.43,8600,平
2023-02-20,汉口,20日22时,13.38,10100,落
2023-02-20,九江,20日22时,9.01,9930,落
2023-02-20,大通,20日22时,5.31,14400,落
2023-02-20,城陵矶㈦,20日22时,19.69,2250,落
2023-02-20,皇庄,20日22时,39.08,605,涨
2023-02-20,湖口,20日22时,8.41,4040,平
2023-02-21,向家坝,21日22时,268.94,4570,落
2023-02-21,寸滩,21日22时,161.89,7550,涨
2023-02-21,万县,21日22时,156.26,-,落
2023-02-21,宜昌,21日22时,39.85,7040,涨
2023-02-21,沙市,21日22时,29.34,6670,涨
2023-02-21,螺山,21日22时,18.35,8530,落
2023-02-21,汉口,21日22时,13.30,9970,平
2023-02-21,九江,21日22时,8.95,9900,涨
2023-02-21,大通,21日22时,5.30,14100,落
2023-02-21,城陵矶㈦,21日22时,19.64,1960,平
2023-02-21,皇庄,21日22时,39.21,652,涨
2023-02-21,湖口,21日22时,8.34,2850,落
2023-02-22,向家坝,22日22时,268.96,4590,平
2023-02-22,寸滩,22日22时,161.71,7290,涨
2023-02-22,万县,22日22时,156.37,-,平
2023-02-22,宜昌,22日22时,39.72,6730,落
2023-02-22,沙市,22日22时,29.37,6730,平
2023-02-22,螺山,22日22时,18.29,8440,平
2023-02-22,汉口,22日22时,13.25,9890,平
2023-02-22,九江,22日22时,8.85,9950,落
2023-02-22,大通,22日22时,5.34,13900,落
2023-02-22,城陵矶㈦,22日22时,19.56,1870,平
2023-02-22,皇庄,22日22时,39.17,638,涨
2023-02-22,湖口,22日22时,8.21,3040,落
2023-02-23,向家坝,23日22时,268.89,4510,落
2023-02-23,寸滩,23日22时,161.80,7420,落
2023-02-23,万县,23日22时,156.45,-,平
2023-02-23,宜昌,23日22时,40.00,7400,涨
2023-02-23,沙市,23日22时,29.37,6700,涨
2023-02-23,螺山,23日22时,18.24,8380,平
2023-02-23,汉口,23日22时,13.17,9760,涨
2023-02-23,九江,23日22时,8.73,9830,落
2023-02-23,大通,23日22时,5.29,13500,落
2023-02-23,城陵矶㈦,23日22时,19.51,1810,平
2023-02-23,皇庄,23日22时,39.16,634,平
2023-02-23,湖口,23日22时,8.06,3000,平
2023-02-24,向家坝,24日22时,268.95,4580,涨
2023-02-24,寸滩,24日22时,161.93,7600,涨
2023-02-24,万县,24日22时,156.56,-,平
2023-02-24,宜昌,24日22时,39.73,6750,落
2023-02-24,沙市,24日22时,29.45,6850,平
2023-02-24,螺山,24日22时,18.17,8300,落
2023-02-24,汉口,24日22时,13.09,9640,落
2023-02-24,九江,24日22时,8.62,9720,落
2023-02-24,大通,24日22时,5.17,13100,落
2023-02-24,城陵矶㈦,24日22时,19.44,1800,平
2023-02-24,皇庄,24日22时,39.09,609,平
2023-02-24,湖口,24日22时,7.92,2700,平
2023-02-25,向家坝,25日22时,268.46,4030,落
2023-02-25,寸滩,25日22时,161.87,7520,落
2023-02-25,万县,25日22时,156.70,-,平
2023-02-25,宜昌,25日22时,39.98,7350,落
2023-02-25,沙市,25日22时,29.37,6690,平
2023-02-25,螺山,25日22时,18.12,8280,平
2023-02-25,汉口,25日22时,13.01,9520,落
2023-02-25,九江,25日22时,8.51,9610,落
2023-02-25,大通,25日22时,5.09,12500,落
2023-02-25,城陵矶㈦,25日22时,19.40,1770,落
2023-02-25,皇庄,25日22时,39.12,619,平
2023-02-25,湖口,25日22时,7.78,2560,落
2023-02-26,向家坝,26日22时,268.51,4080,落
2023-02-26,寸滩,26日22时,161.72,7310,涨
2023-02-26,万县,26日22时,156.77,-,平
2023-02-26,宜昌,26日22时,39.89,7140,涨
2023-02-26,沙市,26日22时,29.42,6760,平
2023-02-26,螺山,26日22时,18.11,8280,落
2023-02-26,汉口,26日22时,12.96,9440,平
2023-02-26,九江,26日22时,8.41,9510,落
2023-02-26,大通,26日22时,4.94,12300,落
2023-02-26,城陵矶㈦,26日22时,19.39,1760,平
2023-02-26,皇庄,26日22时,39.40,720,涨
2023-02-26,湖口,26日22时,7.68,2430,落
2023-02-27,向家坝,27日22时,268.50,4070,落
2023-02-27,寸滩,27日22时,161.88,7530,落
2023-02-27,万县,27日22时,156.86,-,落
2023-02-27,宜昌,27日22时,39.86,7060,平
2023-02-27,沙市,27日22时,29.43,6790,平
2023-02-27,螺山,27日22时,18.08,8240,平
2023-02-27,汉口,27日22时,12.92,9380,平
2023-02-27,九江,27日22时,8.30,9480,平
2023-02-27,大通,27日22时,4.80,11800,落
2023-02-27,城陵矶㈦,27日22时,19.35,1520,落
2023-02-27,皇庄,27日22时,39.47,745,落
2023-02-27,湖口,27日22时,7.51,2180,落
2023-02-28,向家坝,28日22时,268.44,4010,落
2023-02-28,寸滩,28日22时,161.68,7250,涨
2023-02-28,万县,28日22时,156.96,-,落
2023-02-28,宜昌,28日22时,39.87,7090,涨
2023-02-28,沙市,28日22时,29.44,6830,涨
2023-02-28,螺山,28日22时,18.04,8180,平
2023-02-28,汉口,28日22时,12.88,9320,平
2023-02-28,九江,28日22时,8.20,9390,落
2023-02-28,大通,28日22时,4.64,11400,落
2023-02-28,城陵矶㈦,28日22时,19.32,1460,平
2023-02-28,皇庄,28日22时,39.51,760,落
2023-02-28,湖口,28日22时,7.39,2010,落
2023-03-01,向家坝,01日22时,268.46,4030,落
2023-03-01,寸滩,01日22时,161.79,7420,涨
2023-03-01,万县,01日22时,157.01,-,平
2023-03-01,宜昌,01日22时,39.92,7210,涨
2023-03-01,沙市,01日22时,29.43,6790,平
2023-03-01,螺山,01日22时,18.01,8140,落
2023-03-01,汉口,01日22时,12.83,9240,平
2023-03-01,九江,01日22时,8.11,9360,涨
2023-03-01,大通,01日22时,4.44,10800,涨
2023-03-01,城陵矶㈦,01日22时,19.28,1390,平
2023-03-01,皇庄,01日22时,39.67,817,平
2023-03-01,湖口,01日22时,7.26,1760,落
2023-03-02,向家坝,02日22时,268.52,4090,落
2023-03-02,寸滩,02日22时,161.66,6820,平
2023-03-02,万县,02日22时,157.03,-,落
2023-03-02,宜昌,02日22时,39.92,7210,涨
2023-03-02,沙市,02日22时,29.39,6750,落
2023-03-02,螺山,02日22时,17.96,8130,平
2023-03-02,汉口,02日22时,12.78,9160,涨
2023-03-02,九江,02日22时,8.02,9300,平
2023-03-02,大通,02日22时,4.29,10600,涨
2023-03-02,城陵矶㈦,02日22时,19.24,1310,平
2023-03-02,皇庄,02日22时,39.59,788,落
2023-03-02,湖口,02日22时,7.15,1690,落
2023-03-03,向家坝,03日22时,268.69,4280,落
2023-03-03,寸滩,03日22时,161.48,6570,涨
2023-03-03,万县,03日22时,157.03,-,落
2023-03-03,宜昌,03日22时,39.87,7090,落
2023-03-03,沙市,03日22时,29.36,6720,落
2023-03-03,螺山,03日22时,17.92,8090,涨
2023-03-03,汉口,03日22时,12.71,9060,平
2023-03-03,九江,03日22时,7.93,9310,落
2023-03-03,大通,03日22时,4.15,10400,涨
2023-03-03,城陵矶㈦,03日22时,19.19,1360,平
2023-03-03,皇庄,03日22时,39.62,799,平
2023-03-03,湖口,03日22时,7.05,1560,落
2023-03-04,向家坝,04日22时,268.77,4380,落
2023-03-04,寸滩,04日22时,161.45,6530,落
2023-03-04,万县,04日22时,157.06,-,平
2023-03-04,宜昌,04日22时,39.84,7020,涨
2023-03-04,沙市,04日22时,29.40,6820,平
2023-03-04,螺山,04日11时,17.86,8010,落
2023-03-04,汉口,04日22时,12.63,8950,平
2023-03-04,九江,04日22时,7.84,9210,落
2023-03-04,大通,04日22时,4.11,10200,落
2023-03-04,城陵矶㈦,04日11时,19.14,1300,平
2023-03-04,皇庄,04日22时,39.27,674,落
2023-03-04,湖口,04日22时,6.95,1440,平
2023-03-05,向家坝,05日22时,268.77,4380,落
2023-03-05,寸滩,05日22时,161.88,7130,涨
2023-03-05,万县,05日22时,157.08,-,平
2023-03-05,宜昌,05日22时,39.97,7330,涨
2023-03-05,沙市,05日22时,29.39,6820,平
2023-03-05,螺山,05日22时,17.82,8020,平
2023-03-05,汉口,05日21时,12.58,8890,平
2023-03-05,九江,05日22时,7.77,9120,落
2023-03-05,大通,05日22时,4.19,10200,落
2023-03-05,城陵矶㈦,05日22时,19.11,1260,涨
2023-03-05,皇庄,05日22时,39.12,619,平
2023-03-05,湖口,05日22时,6.89,1310,平
2023-03-06,向家坝,06日22时,268.76,4360,落
2023-03-06,寸滩,06日22时,161.61,6750,落
2023-03-06,万县,06日22时,157.14,-,平
2023-03-06,宜昌,06日22时,39.93,7230,涨
2023-03-06,沙市,06日22时,29.41,6800,平
2023-03-06,螺山,06日22时,17.79,8010,平
2023-03-06,汉口,06日22时,12.57,8880,涨
2023-03-06,九江,06日22时,7.71,8890,落
2023-03-06,大通,06日22时,4.21,10000,落
2023-03-06,城陵矶㈦,06日22时,19.08,1270,平
2023-03-06,皇庄,06日22时,39.07,601,落
2023-03-06,湖口,06日22时,6.83,1200,平
2023-03-07,向家坝,07日22时,268.79,4400,落
2023-03-07,寸滩,07日22时,161.50,6600,涨
2023-03-07,万县,07日22时,157.17,-,落
2023-03-07,宜昌,07日22时,40.04,7490,涨
2023-03-07,沙市,07日22时,29.41,6800,平
2023-03-07,螺山,07日22时,17.79,8030,平
2023-03-07,汉口,07日22时,12.49,8770,平
2023-03-07,九江,07日22时,7.68,8940,涨
2023-03-07,大通,07日22时,4.18,9930,落
2023-03-07,城陵矶㈦,07日22时,19.09,1280,落
2023-03-07,皇庄,07日22时,39.04,591,平
2023-03-07,湖口,07日22时,6.77,1120,平
2023-03-08,向家坝,08日22时,268.73,4330,落
2023-03-08,寸滩,08日22时,161.70,6880,落
2023-03-08,万县,08日22时,157.26,-,平
2023-03-08,宜昌,08日22时,40.02,7440,涨
2023-03-08,沙市,08日22时,29.43,6830,涨
2023-03-08,螺山,08日22时,17.79,8050,平
2023-03-08,汉口,08日22时,12.46,8740,平
2023-03-08,九江,08日22时,7.63,8870,落
2023-03-08,大通,08日22时,4.20,9850,落
2023-03-08,城陵矶㈦,08日22时,19.10,1290,平
2023-03-08,皇庄,08日22时,38.99,573,平
2023-03-08,湖口,08日22时,6.71,1100,平
2023-03-09,向家坝,09日22时,268.75,4350,落
2023-03-09,寸滩,09日22时,161.53,6640,落
2023-03-09,万县,09日22时,157.31,-,平
2023-03-09,宜昌,09日22时,39.91,7180,涨
2023-03-09,沙市,09日22时,29.47,6870,涨
2023-03-09,螺山,09日22时,17.79,8070,平
2023-03-09,汉口,09日22时,12.43,8700,落
2023-03-09,九江,09日22时,7.61,8820,平
2023-03-09,大通,09日22时,4.22,9790,落
2023-03-09,城陵矶㈦,09日22时,19.12,1310,平
2023-03-09,皇庄,09日22时,39.06,598,涨
2023-03-09,湖口,09日22时,6.67,1020,平
2023-03-10,向家坝,10日22时,268.75,4350,落
2023-03-10,寸滩,10日22时,161.72,6910,落
2023-03-10,万县,10日22时,157.35,-,落
2023-03-10,宜昌,10日22时,39.92,7210,平
2023-03-10,沙市,10日22时,29.44,6840,落
2023-03-10,螺山,10日22时,17.82,8100,平
2023-03-10,汉口,10日22时,12.42,8690,涨
2023-03-10,九江,10日22时,7.60,8810,涨
2023-03-10,大通,10日22时,4.30,9780,落
2023-03-10,城陵矶㈦,10日22时,19.13,1320,落
2023-03-10,皇庄,10日22时,39.08,605,平
2023-03-10,湖口,10日22时,6.67,940,涨
2023-03-11,向家坝,11日22时,268.02,3550,落
2023-03-11,寸滩,11日22时,161.36,6400,落
2023-03-11,万县,11日22时,157.44,-,涨
2023-03-11,宜昌,11日22时,39.97,7330,涨
2023-03-11,沙市,11日22时,29.45,6900,平
2023-03-11,螺山,11日22时,17.82,8090,平
2023-03-11,汉口,11日22时,12.40,8660,落
2023-03-11,九江,11日22时,7.60,8850,平
2023-03-11,大通,11日22时,4.36,9670,落
2023-03-11,城陵矶㈦,11日22时,19.13,1320,平
2023-03-11,皇庄,11日22时,39.07,601,落
2023-03-11,湖口,11日22时,6.67,939,平
2023-03-12,向家坝,12日22时,268.16,3700,落
2023-03-12,寸滩,12日22时,161.19,6170,落
2023-03-12,万县,12日22时,157.43,-,落
2023-03-12,宜昌,12日22时,39.89,7140,涨
2023-03-12,沙市,12日22时,29.39,6800,落
2023-03-12,螺山,12日22时,17.79,8100,平
2023-03-12,汉口,12日22时,12.35,8600,平
2023-03-12,九江,12日22时,7.62,8860,涨
2023-03-12,大通,12日17时,4.53,8170,涨
2023-03-12,城陵矶㈦,12日22时,19.14,1330,平
2023-03-12,皇庄,12日22时,39.07,601,落
2023-03-12,湖口,12日22时,6.74,908,平
2023-03-13,向家坝,13日22时,268.14,3680,落
2023-03-13,寸滩,13日22时,161.07,6000,涨
2023-03-13,万县,13日22时,157.42,-,平
2023-03-13,宜昌,13日22时,39.95,7280,涨
2023-03-13,沙市,13日22时,29.40,6790,平
2023-03-13,螺山,13日22时,17.83,8100,涨
2023-03-13,汉口,13日22时,12.38,8640,平
2023-03-13,九江,13日22时,7.58,8840,落
2023-03-13,大通,13日22时,4.42,9590,落
2023-03-13,城陵矶㈦,13日22时,19.13,1320,平
2023-03-13,皇庄,13日22时,38.97,575,落
2023-03-13,湖口,13日22时,6.68,1240,平
2023-03-15,向家坝,15日22时,268.21,3750,落
2023-03-15,寸滩,15日22时,162.00,7300,落
2023-03-15,万县,15日22时,157.58,-,落
2023-03-15,宜昌,15日22时,39.91,7180,涨
2023-03-15,沙市,15日22时,29.37,6760,落
2023-03-15,螺山,15日22时,17.75,8010,平
2023-03-15,汉口,15日22时,12.34,8590,平
2023-03-15,九江,15日22时,7.52,8730,落
2023-03-15,大通,15日22时,4.27,9180,落
2023-03-15,城陵矶㈦,15日22时,19.07,1380,平
2023-03-15,皇庄,15日22时,38.95,546,落
2023-03-15,湖口,15日22时,6.58,1270,平
2023-03-16,向家坝,16日22时,268.21,3750,落
2023-03-16,寸滩,16日22时,161.75,6950,涨
2023-03-16,万县,16日22时,157.70,-,平
2023-03-16,宜昌,16日22时,40.04,7490,涨
2023-03-16,沙市,16日22时,29.37,6780,平
2023-03-16,螺山,16日22时,17.71,7990,平
2023-03-16,汉口,16日22时,12.34,8590,平
2023-03-16,九江,16日22时,7.54,8560,落
2023-03-16,大通,16日22时,4.43,8670,平
2023-03-16,城陵矶㈦,16日22时,19.06,1370,平
2023-03-16,皇庄,16日22时,39.00,564,平
2023-03-16,湖口,16日22时,6.62,1270,落
2023-03-17,向家坝,17日22时,268.18,3720,落
2023-03-17,寸滩,17日22时,161.63,6780,落
2023-03-17,万县,17日22时,157.80,-,平
2023-03-17,宜昌,17日22时,39.80,6920,落
2023-03-17,沙市,17日22时,29.42,6850,涨
2023-03-17,螺山,17日22时,17.77,8070,平
2023-03-17,汉口,17日22时,12.34,8590,平
2023-03-17,九江,17日22时,7.58,8670,落
2023-03-17,大通,17日22时,4.33,8480,涨
2023-03-17,城陵矶㈦,17日22时,19.10,1340,落
2023-03-17,皇庄,17日22时,39.26,656,涨
2023-03-17,湖口,17日22时,6.68,1040,平
2023-03-18,向家坝,18日22时,267.78,3300,落
2023-03-18,寸滩,18日22时,161.53,6640,落
2023-03-18,万县,18日22时,157.89,-,平
2023-03-18,宜昌,18日22时,39.79,6900,涨
2023-03-18,沙市,18日22时,29.43,6860,平
2023-03-18,螺山,18日22时,17.81,8090,平
