日期,市（洲）,站点编号,站名,站类,水位,流量,昨日涨落
2023-04-15,宜昌,60514368,水月寺(道路坪),ZZ,640.07,,0.02
2023-04-15,宜昌,60514372,杨林桥(渠道),ZZ,,,--
2023-04-15,宜昌,60515000,小溪口（白水溪）,ZZ,172.02,,0.00
2023-04-15,宜昌,60519200,新生（髙家溪）,ZZ,77.44,,0.00
2023-04-15,宜昌,60902060,普溪河,ZZ,167.46,,0.00
2023-04-15,宜昌,60903200,南村坪（鄢家河）,ZZ,70.48,,0.00
2023-04-15,宜昌,60903400,车溪,ZZ,200.39,,-0.01
2023-04-15,宜昌,60903460,紫阳,ZZ,51.80,,-0.01
2023-04-15,宜昌,60903600,水府庙(土门),ZZ,73.00,,0.00
2023-04-15,宜昌,60903650,新场,ZZ,77.03,,-0.02
2023-04-15,宜昌,60903680,九道河,ZZ,84.36,,-0.01
2023-04-15,宜昌,60903810,马家店,ZZ,38.99,,-0.04
2023-04-15,宜昌,60906010,远安(坝下),ZQ,97.21,3.11,0.00
2023-04-15,宜昌,60908050,窑湾,ZQ,,,--
2023-04-15,宜昌,60908700,旧县（鹿苑河）,ZZ,117.23,,0.01
2023-04-15,宜昌,60908710,凤山（鸣凤河）,ZZ,109.24,,0.01
2023-04-15,宜昌,60908720,花林寺（石头店）,ZZ,120.66,,0.06
2023-04-15,宜昌,61010100,津洋口,ZZ,79.66,,0.00
2023-04-15,襄阳,60903900,庙坪,ZZ,1.49,,0.00
2023-04-15,襄阳,60908600,鸡冠河,ZZ,309.77,,0.00
2023-04-15,襄阳,61803420,鱼梁洲,ZZ,62.74,,-0.02
2023-04-15,襄阳,61908200,江山,ZZ,98.43,,0.01
2023-04-15,襄阳,61909700,谢湾,ZZ,115.64,,0.00
2023-04-15,襄阳,61914400,罗坪,ZZ,125.55,,0.00
2023-04-15,襄阳,61914980,南渠,ZZ,66.52,,0.58
2023-04-15,襄阳,61915540,竹林桥,ZZ,109.74,,-0.01
2023-04-15,襄阳,61918300,朱市,ZZ,54.91,1.80,54.91
2023-04-15,襄阳,61918700,李庙,ZZ,239.74,,0.00
2023-04-15,襄阳,61919220,董集,ZZ,78.06,,0.04
2023-04-15,襄阳,62010500,董坡,ZQ,64.18,95.5,0.00
2023-04-15,襄阳,62018540,吕镇,ZZ,80.30,,-0.02
2023-04-15,襄阳,62018590,吴店,ZZ,91.52,,-0.01
2023-04-15,襄阳,62019300,五口,ZZ,98.59,,-0.01
2023-04-15,襄阳,60904000,马良坪,ZQ,2.29,4.39,-0.07
2023-04-15,襄阳,60909000,打鼓台,ZQ,48.10,0.00,0.26
2023-04-15,襄阳,60914000,苍坪,ZQ,129.51,0.752,0.00
2023-04-15,襄阳,61803550,宜城,ZQ,55.90,3340,-0.12
2023-04-15,襄阳,61910100,开峰峪,ZQ,194.76,2.84,0.00
2023-04-15,襄阳,61915050,清河店,ZQ,67.15,27.5,0.00
2023-04-15,襄阳,61917500,挽鱼沟,ZQ,173.24,7.70,0.04
2023-04-15,襄阳,62016500,埠口,ZQ,,,--
2023-04-15,十堰,61901200,土门水库,ZZ,281.37,,0.00
2023-04-15,十堰,61901650,青曲,ZZ,229.97,,0.07
2023-04-15,十堰,61902860,白沙河,ZZ,440.33,,-1.03
2023-04-15,十堰,61903020,九道,ZZ,524.94,,0.00
2023-04-15,十堰,61903030,洪坪,ZZ,517.67,,-0.02
2023-04-15,十堰,61906000,叶滩,ZZ,349.37,,0.00
2023-04-15,十堰,61906850,马家河,ZZ,280.00,,0.00
2023-04-15,十堰,61912800,军店,ZZ,451.36,,0.00
2023-04-15,十堰,61924410,泥沟,ZZ,211.34,,-0.02
2023-04-15,十堰,61813105,关防,ZQ,432.31,8.59,0.10
2023-04-15,十堰,61900010,鲍峡,ZQ,272.17,0.562,0.00
2023-04-15,十堰,61901000,贾家坊,ZQ,215.73,4.12,0.14
2023-04-15,十堰,61902200,老码头(官渡),ZZ,345.01,,-2.07
2023-04-15,十堰,61902400,竹山,ZQ,251.58,1200,1.37
2023-04-15,十堰,61902800,延坝,ZQ,373.58,5.27,0.00
2023-04-15,十堰,61902850,泉河,ZQ,350.01,0.570,-1.11
2023-04-15,十堰,61904600,县河,ZQ,384.32,1.27,0.00
2023-04-15,十堰,61905850,楼台,ZQ,292.77,0.320,-0.01
2023-04-15,十堰,61906200,东风,ZQ,198.63,1.61,0.00
2023-04-15,十堰,61907500,孤山,ZQ,24.65,0.187,0.00
2023-04-15,十堰,61937233,巨家河,PP,,,--
2023-04-15,十堰,61944400,房县,ZQ,401.62,3.56,0.00
2023-04-15,十堰,62007110,滔河,ZQ,312.86,1.48,0.00
2023-04-15,十堰,62031400,南化塘,ZZ,324.75,,0.00
2023-04-15,神农架,61909650,野马河,ZZ,1449.99,,-0.01
2023-04-15,神农架,61912600,松柏,ZQ,,,--
2023-04-15,随州,50201281,游河,ZQ,124.68,5.22,0.00
2023-04-15,随州,62200500,安居,ZQ,64.76,2.54,-0.03
2023-04-15,随州,62202500,唐县镇,ZZ,112.81,,-0.02
2023-04-15,随州,62205000,龙泉镇,ZZ,68.88,,0.01
2023-04-15,随州,62234800,武胜关,ZZ,97.31,,-0.01
2023-04-15,随州,62017700,新城,ZQ,157.38,0.166,0.00
2023-04-15,随州,62200400,环潭,ZQ,80.63,,0.00
2023-04-15,随州,62200600,随州,ZQ,57.54,7.96,0.00
2023-04-15,随州,62202700,均川,ZQ,73.23,0.232,-0.01
2023-04-15,随州,62203900,万店,ZQ,68.79,2.60,-0.02
2023-04-15,随州,62206300,应山(二),ZQ,,,--
2023-04-15,随州,62204500,何店,ZQ,58.04,1.82,0.00
2023-04-15,随州,62206350,陈巷,ZQ,52.47,1.83,0.00
2023-04-15,随州,62235000,广水,ZQ,64.25,0.592,-0.05
2023-04-15,潜江,61015350,竺场,,24.80,,0.00
2023-04-15,潜江,61015650,沱口,,26.79,,0.14
2023-04-15,潜江,62213050,杨市,,26.42,,-0.21
2023-04-15,潜江,61015400,关山,ZQ,25.31,6.13,0.08
2023-04-15,潜江,61015200,魏桥,ZQ,25.53,8.76,0.05
2023-04-15,潜江,61016600,积玉口,ZQ,28.34,15.1,0.01
2023-04-15,潜江,62213020,总口,ZQ,26.09,9.22,-0.22
2023-04-15,黄石,61603000,黄檀咀,ZZ,17.36,,0.00
2023-04-15,黄石,61603900,李家铺,ZZ,15.83,,-0.03
2023-04-15,黄石,61604000,大冶（二）,ZZ,16.16,,0.00
2023-04-15,黄石,61604200,磊山,ZZ,16.19,,0.02
2023-04-15,黄石,61608010,李家畈,ZZ,24.95,,0.00
2023-04-15,黄石,61608100,上庄,ZZ,16.21,,0.00
2023-04-15,黄石,61608210,上铺,ZZ,32.86,,-0.04
2023-04-15,黄石,61608220,冠塘,ZQ,20.34,0.156,0.05
2023-04-15,黄石,61608310,羊畈,ZQ,17.51,1.43,-0.03
2023-04-15,黄石,61604100,大港,ZQ,14.33,1.79,-0.03
2023-04-15,黄石,61604300,罗桥,ZQ,16.35,0.349,-0.09
2023-04-15,黄石,61604400,小箕铺,ZQ,31.49,1.87,-0.03
2023-04-15,黄石,61607000,阳新,ZQ,14.12,,0.36
2023-04-15,黄石,61608000,龙港（二）,ZQ,22.43,13.1,0.16
2023-04-15,黄石,61608200,三溪,ZQ,15.50,1.58,0.13
2023-04-15,黄石,61608305,下桥,ZZ,19.26,,-0.04
2023-04-15,黄石,61608330,栗子湾,ZQ,19.35,0.0700,-0.03
2023-04-15,黄石,61603800,磁湖,ZQ,18.64,,0.00
2023-04-15,黄石,61608221,冠塘（汪畈）,,,,--
2023-04-15,黄冈,61611100,下店河,ZZ,40.29,,0.00
2023-04-15,黄冈,61616200,泗泊河,ZZ,40.92,,0.04
2023-04-15,黄冈,61616300,王家店,ZZ,27.29,,-0.16
2023-04-15,黄冈,61616400,官桥(老港),ZZ,15.98,,0.02
2023-04-15,黄冈,61618000,浠水,ZZ,,,--
2023-04-15,黄冈,61618800,如意河,ZZ,101.58,,0.00
2023-04-15,黄冈,61619900,雷溪河,ZZ,22.13,,-0.05
2023-04-15,黄冈,61634000,华家河,ZZ,60.32,,-0.02
2023-04-15,黄冈,61647400,胜利,ZZ,107.28,,-0.03
2023-04-15,黄冈,61652001,长孙堤(外江),ZZ,,,--
2023-04-15,黄冈,61657700,洗马畈,ZZ,44.56,,0.00
2023-04-15,黄冈,62800710,白湖渡闸上,DD,,,--
2023-04-15,黄冈,62801100,严家闸,ZZ,10.07,,0.00
2023-04-15,黄冈,62801200,下新,ZZ,7.98,,-0.03
2023-04-15,黄冈,62820350,童司牌,ZZ,14.92,,0.01
2023-04-15,黄冈,62800200,官桥(武山湖),ZQ,15.99,0.00,0.02
2023-04-15,黄冈,61610400,红安,ZQ,41.50,2.92,-0.03
2023-04-15,黄冈,61612200,麻城,ZQ,53.57,6.88,0.03
2023-04-15,黄冈,61615600,马家潭,ZQ,19.85,40.5,-0.07
2023-04-15,黄冈,61616000,罗田,ZQ,71.68,6.56,-0.05
2023-04-15,黄冈,61617400,英山,ZQ,101.77,60.9,-0.07
2023-04-15,黄冈,61618410,落令河,ZQ,106.93,3.36,-0.04
2023-04-15,黄冈,61619600,西河驿,ZQ,19.86,52.4,0.01
2023-04-15,荆门,62100500,荆门（花竹）,ZZ,58.03,,-0.01
2023-04-15,荆门,61013390,古林,ZZ,35.83,,-0.02
2023-04-15,荆门,61013395,新桥,ZZ,33.85,,-0.01
2023-04-15,荆门,62103000,胜利闸(长湖),ZZ,30.05,,0.02
2023-04-15,荆门,61804180,大王庙,ZZ,36.79,,0.00
2023-04-15,荆门,61919400,双河,ZZ,45.97,,-0.01
2023-04-15,荆门,62239600,长滩,ZZ,34.35,,0.05
2023-04-15,荆门,61919750,洋梓,ZZ,42.93,,0.15
2023-04-15,荆门,61919850,长寿,ZZ,47.81,,0.02
2023-04-15,荆门,62101000,皮集,ZZ,39.68,,0.00
2023-04-15,荆门,62206750,永隆,ZZ,23.03,,-0.14
2023-04-15,荆门,62209350,罗店,ZZ,41.64,,0.11
2023-04-15,荆门,60912000,马头寨,ZZ,63.92,,-0.01
2023-04-15,荆门,60915000,林家港,ZZ,115.09,,0.00
2023-04-15,荆门,60917020,烟墩集（闸下）,ZZ,111.41,,-0.30
2023-04-15,荆门,62206760,东引河,ZZ,34.34,,34.34
2023-04-15,荆门,61919455,石桥驿,ZQ,50.64,1.94,0.01
2023-04-15,荆门,61012600,拾桥,ZQ,30.45,35.3,-0.03
2023-04-15,荆门,61016580,李市,ZQ,31.20,6.59,-0.06
2023-04-15,荆门,62104001,拾桥（马良集）闸上,ZQ,36.75,,0.07
2023-04-15,荆门,62104002,拾桥（马良集）闸下,ZQ,36.75,,0.07
2023-04-15,荆门,61919355,（章村铺)丰乐,ZQ,45.58,9.13,-0.01
2023-04-15,荆门,61919450,磷矿（陈安）,ZQ,42.36,0.00,-0.03
2023-04-15,荆门,61919650,（东桥）客店坡,ZQ,106.74,0.185,0.00
2023-04-15,荆门,61919760,北新集,ZQ,38.52,6.70,0.00
2023-04-15,荆门,62102010,红金（闸上）,ZQ,41.32,,-0.06
2023-04-15,荆门,62102020,红金（闸下）,ZQ,37.84,,0.04
2023-04-15,荆门,62207640,绿化（杨家峰）,ZQ,23.18,0.648,-0.03
2023-04-15,荆门,62208200,车桥河（京山）,ZQ,52.60,0.300,0.06
2023-04-15,荆门,62209300,宋河,ZQ,54.47,0.00,0.01
2023-04-15,天门,62206950,龙骨湖,ZZ,22.42,,-0.03
2023-04-15,天门,62206900,天门,ZQ,23.76,29.9,-0.08
2023-04-15,天门,62208300,皂市,ZQ,21.48,,-0.02
2023-04-15,天门,62211950,刘家河泵,ZZ,23.15,,0.04
2023-04-15,天门,62206920,老龙堤闸(上),ZQ,,,--
2023-04-15,天门,62206922,老龙堤闸(下),ZZ,,,--
2023-04-15,天门,62211700,净潭,ZZ,,,--
2023-04-15,天门,62211750,华严湖,ZQ,21.91,0.00,0.02
2023-04-15,天门,62211850,沉湖北,ZQ,23.33,13.1,0.29
2023-04-15,天门,62211900,沉湖南,ZQ,23.41,16.0,0.27
2023-04-15,荆州,61501085,法华寺(街河市),ZZ,34.99,,-0.19
2023-04-15,荆州,61501520,里甲口,ZZ,34.43,,0.04
2023-04-15,荆州,61501700,闸口,,,,--
2023-04-15,荆州,61501720,沙厂,ZZ,33.14,,0.12
2023-04-15,荆州,60919000,横沟市(南口),ZQ,28.76,25.7,0.22
2023-04-15,荆州,61015040,观音垱,ZZ,25.34,,0.05
2023-04-15,荆州,61015060,何桥,ZZ,27.08,,0.05
2023-04-15,荆州,61015080,渡佛寺（周湾）,ZZ,26.03,,0.00
2023-04-15,荆州,61015140,樊桥,ZZ,27.59,,0.36
2023-04-15,荆州,61018000,挖沟咀,ZZ,24.63,,0.04
2023-04-15,荆州,61016130,桐梓湖,ZZ,24.36,,0.00
2023-04-15,荆州,61016170,万全（沙口）,ZZ,24.65,,0.03
2023-04-15,荆州,61016210,峰口,ZZ,25.02,,-0.02
2023-04-15,荆州,61016240,汊河,ZZ,24.54,,0.03
2023-04-15,荆州,61016300,乌林（小港）,ZZ,23.57,,-0.01
2023-04-15,荆州,61017040,二分场,ZZ,26.65,,-0.03
2023-04-15,荆州,61015160,沙岗,ZZ,23.68,,-0.01
2023-04-15,荆州,60908500,万城,ZQ,33.97,,0.00
2023-04-15,荆州,61014500,长湖,ZZ,30.04,,0.01
2023-04-15,荆州,61500900,沙溪坪,ZQ,91.94,0.501,-0.30
2023-04-15,孝感,50202245,宣化店,ZZ,68.34,,0.03
2023-04-15,孝感,62201800,卧龙潭,ZZ,21.03,,-0.30
2023-04-15,孝感,62205800,孝感,ZZ,,,--
2023-04-15,孝感,62210800,五房台,ZZ,23.75,,0.02
2023-04-15,孝感,62210820,余家咀,ZZ,23.32,,0.04
2023-04-15,孝感,62201900,云梦,ZZ,21.67,,-0.03
2023-04-15,孝感,62202150,滚子河,ZZ,22.28,,-0.39
2023-04-15,孝感,62205700,小环河,ZZ,22.60,,-0.07
2023-04-15,孝感,62205900,复兴河,ZZ,22.66,,-0.03
2023-04-15,孝感,62209500,喻家闸（小富水）,ZZ,25.33,,-0.04
2023-04-15,孝感,62210650,北支河,ZZ,21.53,,0.01
2023-04-15,孝感,62212180,军垦河,ZZ,25.79,,0.01
2023-04-15,孝感,62212320,庙五河,ZZ,22.58,,0.04
2023-04-15,孝感,50201991,竹竿河,ZQ,74.42,2.49,-0.01
2023-04-15,孝感,62205400,草店,ZQ,33.21,17.0,-0.13
2023-04-15,孝感,61609050,滠水,ZQ,,,--
2023-04-15,孝感,62200900,漳水,ZQ,21.63,1.30,0.00
2023-04-15,孝感,62201100,溠山河,ZQ,31.06,0.0810,0.00
2023-04-15,孝感,62201300,清水河,ZQ,49.79,1.57,0.00
2023-04-15,孝感,62201400,隔蒲潭,ZQ,22.32,37.6,-0.07
2023-04-15,孝感,62201500,凤凰河,ZQ,19.61,1.94,-0.01
2023-04-15,孝感,62201700,县河,ZQ,22.87,0.225,-0.23
2023-04-15,孝感,62202100,杨店河,ZQ,19.47,1.66,-0.01
2023-04-15,孝感,62205350,大悟河,ZQ,39.51,9.01,0.00
2023-04-15,孝感,62205500,晏家河,ZQ,31.44,2.88,0.01
2023-04-15,孝感,62205600,花园,ZQ,33.58,38.3,-0.01
2023-04-15,孝感,62206500,应山河,ZQ,37.45,1.41,-0.02
2023-04-15,孝感,62208700,张万（引水河）,DD,,,--
2023-04-15,孝感,62209400,应城（二）,ZQ,25.01,1.55,-0.05
2023-04-15,孝感,62210610,南支河,ZQ,21.57,23.3,0.02
2023-04-15,孝感,62212300,夏新河,DD,,,--
2023-04-15,仙桃,62213330,老里仁口,ZZ,22.41,,-0.53
2023-04-15,仙桃,62213340,郭兴口,ZZ,21.89,60.5,-0.05
2023-04-15,仙桃,62213360,庆丰,ZZ,22.77,,-0.07
2023-04-15,仙桃,61804715,鱼嘴,ZZ,22.53,,-0.15
2023-04-15,仙桃,62213345,楼子台,ZQ,21.73,,-0.05
2023-04-15,仙桃,62213350,郭河,ZQ,23.85,9.59,0.08
2023-04-15,仙桃,62213400,彭场,ZQ,21.78,40.3,-0.06
2023-04-15,仙桃,62213380,余场,ZQ,21.68,26.1,-0.03
2023-04-15,鄂州,61602500,高河,ZQ,18.79,0.774,-0.04
2023-04-15,鄂州,61603700,花湖,ZQ,18.21,0.00,0.05
2023-04-15,鄂州,61602600,梁子镇,ZZ,17.91,,-0.03
2023-04-15,鄂州,61603600,薛家沟,ZQ,16.42,0.420,0.02
2023-04-15,鄂州,61603610,鸭儿湖,ZZ,17.26,,-0.03
2023-04-15,鄂州,61603620,大庙,ZZ,17.94,,-0.17
2023-04-15,鄂州,61602700,陈家咀,ZZ,17.19,,0.00
2023-04-15,恩施,61002010,北门,ZZ,404.20,,0.00
2023-04-15,恩施,61004980,官坡,ZZ,404.03,,-0.04
2023-04-15,恩施,61005148,巴公溪,ZZ,399.43,,-0.03
2023-04-15,恩施,61005146,南门,ZZ,5.27,,-0.59
2023-04-15,恩施,60514020,万福河,ZZ,329.33,,-0.01
2023-04-15,恩施,61008100,野三河电站,ZZ,458.04,,0.00
2023-04-15,恩施,61001900,大龙潭坝下,ZZ,424.22,,-0.15
2023-04-15,恩施,60811613,毛滩河,RR,,,--
2023-04-15,恩施,60811583,峡口塘下,ZZ,401.19,,0.00
2023-04-15,恩施,60513640,梅子水,ZZ,1109.71,,-0.11
2023-04-15,恩施,60513460,建南水位站,ZZ,644.78,,0.00
2023-04-15,恩施,61007100,小溪口坝下,ZZ,481.36,,-0.05
2023-04-15,恩施,61312930,接龙桥,ZZ,445.22,,0.07
2023-04-15,恩施,61312965,绿水,ZZ,484.13,,0.16
2023-04-15,恩施,61006300,咸丰水位站,ZZ,692.95,,0.02
2023-04-15,恩施,61401580,湖坪,ZZ,1293.40,,-0.01
2023-04-15,恩施,61312830,沙道沟,ZZ,554.03,,0.01
2023-04-15,恩施,61001801,屯堡,ZZ,454.20,,0.54
2023-04-15,恩施,60811580,五里峡,ZQ,,,--
2023-04-15,恩施,61001810,龙王塘,ZZ,476.14,,-0.11
2023-04-15,恩施,61005950,高拱桥,ZQ,420.81,1.46,-0.02
2023-04-15,恩施,61000900,大庙,ZQ,1024.61,3.78,-0.27
2023-04-15,恩施,61006000,金银溪,ZQ,429.99,2.72,0.01
2023-04-15,恩施,61001700,姚家坪,ZQ,574.74,29.0,-0.06
2023-04-15,恩施,61007800,阎家坪,ZQ,483.39,0.630,-0.26
2023-04-15,恩施,61007550,太阳河,ZQ,738.66,0.173,0.00
2023-04-15,恩施,61004970,三孔桥,ZQ,421.41,1.76,-0.03
2023-04-15,恩施,61002050,华家台,ZQ,398.13,119,-0.16
2023-04-15,恩施,61004960,龙凤坝,ZQ,427.85,1.72,-0.46
2023-04-15,恩施,61026900,龙马,RR,,,--
2023-04-15,恩施,61004990,喻家河,RR,,,--
2023-04-15,恩施,61002000,恩施,ZQ,409.22,79.5,-0.06
2023-04-15,恩施,61000500,利川(二),ZQ,63.94,2.95,0.02
2023-04-15,恩施,60814000,忠路,ZQ,610.32,3.46,0.01
2023-04-15,恩施,61003900,岩洞寺,ZQ,1070.92,0.553,0.02
2023-04-15,恩施,61007490,建始城关,ZQ,554.19,2.46,-0.01
2023-04-15,恩施,61007600,松林坝,,,,--
2023-04-15,恩施,60514050,石板坪,ZQ,176.73,4.03,-0.02
2023-04-15,恩施,61312840,来凤,ZQ,441.73,18.3,0.05
2023-04-15,恩施,61312871,纳吉滩坝下,ZQ,344.23,,0.06
2023-04-15,恩施,61312995,忠城,ZQ,352.94,12.0,0.07
2023-04-15,恩施,60810950,大河边,ZQ,27.55,0.588,0.00
2023-04-15,恩施,60813000,野猫河,ZQ,751.66,1.52,0.00
2023-04-15,恩施,60811151,南河,,,,--
2023-04-15,恩施,60811152,青狮峡,,,,--
2023-04-15,恩施,61401610,鹤峰,ZQ,76.30,1.59,-0.19
2023-04-15,恩施,61406500,南渡江,,,,--
2023-04-15,恩施,61401720,鸡公洞,,,,--
2023-04-15,恩施,61401950,江坪河,ZQ,289.43,1.05,0.00
2023-04-15,恩施,61402080,瓦窑渡,ZQ,230.33,2.95,-0.36
2023-04-15,恩施,61006500,宣恩(二),ZQ,493.70,25.0,-0.05
2023-04-15,恩施,61312925,李家河,ZZ,.00,,0.00
2023-04-15,恩施,61312920,高罗,ZQ,579.41,0.793,0.01
2023-04-15,恩施,61006810,洞坪坝下,ZQ,379.46,66.7,0.00
2023-04-15,恩施,61007220,老渡口坝下,ZQ,394.06,87.6,0.22
2023-04-15,咸宁,61606150,大路（通山河）,ZZ,64.84,,-0.05
2023-04-15,咸宁,61607450,闯王(内港),ZZ,89.89,,-0.30
2023-04-15,咸宁,61607600,黄沙（梅田）,ZZ,97.31,,-0.06
2023-04-15,咸宁,61607680,杨林(沙店),ZZ,80.62,,-0.38
2023-04-15,咸宁,61625000,厦铺（二）,ZZ,83.62,,2.00
2023-04-15,咸宁,61602830,高桥（双溪）,ZZ,46.27,,0.00
2023-04-15,咸宁,61701000,赵李桥(新店河),ZZ,41.93,,-0.55
2023-04-15,咸宁,61714500,龙潭(马桥),ZZ,25.78,,0.02
2023-04-15,咸宁,61702800,沙坪（天城）,ZZ,61.06,,0.00
2023-04-15,咸宁,61708800,马港,ZZ,111.16,,-0.04
2023-04-15,咸宁,61708970,港口（雨山）,ZZ,,,--
2023-04-15,咸宁,61714000,三州,ZZ,21.33,,0.01
2023-04-15,咸宁,61746500,王家庄,ZZ,10.27,,0.01
2023-04-15,咸宁,61606200,明水,ZQ,54.94,73.7,0.52
2023-04-15,咸宁,61607300,通山,PP,57.50,,-0.12
2023-04-15,咸宁,61607500,横石,PP,62.20,,-0.89
2023-04-15,咸宁,61607700,洪港,PP,58.92,,-0.60
2023-04-15,咸宁,61606000,大屋场,ZQ,163.50,9.70,-0.37
2023-04-15,咸宁,61606160,通羊,ZQ,60.82,42.5,0.69
2023-04-15,咸宁,61607850,横石潭,ZQ,61.04,12.2,-0.45
2023-04-15,咸宁,61607610,小港口,ZQ,63.29,9.16,-0.06
2023-04-15,咸宁,61713000,十好桥,ZQ,23.66,86.7,0.00
2023-04-15,咸宁,61701002,新店,ZQ,23.43,63.6,0.00
2023-04-15,咸宁,61709150,赤壁(赤马港),ZQ,28.01,4.67,-0.09
2023-04-15,咸宁,61710980,汀泗桥,ZQ,24.27,24.3,-0.01
2023-04-15,咸宁,61707000,通城,ZQ,.34,0.00,0.11
2023-04-15,咸宁,61701900,菖蒲港,ZQ,88.80,276,-0.10
2023-04-15,咸宁,61703200,天城,ZQ,54.59,7.91,-0.12
2023-04-15,咸宁,61707350,铁柱岭,ZQ,83.83,0.927,-0.37
2023-04-15,咸宁,61712950,温泉,ZQ,25.87,192,0.03
2023-04-15,咸宁,61710850,嘉鱼,ZQ,21.53,77.0,0.00
2023-04-15,,,,,,,
2023-04-16,武汉,61600400,南湖,ZZ,18.89,,0.01
2023-04-16,武汉,61600550,青龙咀（三）,ZZ,18.41,,0.00
2023-04-16,武汉,61600560,黄家湖,ZZ,18.30,,0.00
2023-04-16,武汉,61600570,青菱湖,ZZ,18.10,,0.00
2023-04-16,武汉,61600600,沙湖,ZZ,19.84,,0.00
2023-04-16,武汉,61601200,东湖,ZZ,19.75,,0.00
2023-04-16,武汉,61601203,罗家港,ZZ,18.03,,0.04
2023-04-16,武汉,61601204,北洋桥,ZZ,18.94,,0.00
2023-04-16,武汉,61601400,北湖,ZZ,18.47,,0.02
2023-04-16,武汉,61601510,严西湖,ZZ,18.68,,-0.01
2023-04-16,武汉,61601550,严东湖,ZZ,18.27,,0.00
2023-04-16,武汉,61602551,梁子湖闸内,ZZ,16.03,,-0.04
